Query	Hit	Rank	Probability	E-Value
RPN2	IMA1	8	96.9	1.1e-6
RPN2	VAC8	9	96.9	1.0e-6
RPN2	SF3B1	10	96.6	3.9e-6
RPN2	AP3D	11	96.5	6.5e-6
RPN2	COPG	12	96.5	5.0e-6
RPN2	AP3B	13	95.7	5.9e-5
RPN2	ECM29	14	95.6	7.5e-5
RPN2	GCN1	15	95.5	0.00011
RPN2	IMB2	16	95.4	0.00013
RPN2	TOR1	17	95.4	0.00012
RPN2	CND3	18	95.4	0.00011
RPN2	IMB3	19	94.8	0.00036
RPN2	TOR2	20	94.8	0.00035
RPN2	VAC14	21	94.3	0.00067
RPN2	AP1G1	22	94.2	0.00077
RPN2	PDS5	23	93.8	0.0012
RPN2	MOT1	24	93.8	0.0011
RPN2	IMB1	25	93.6	0.0014
RPN2	AP2A	26	92.4	0.0035
RPN2	IMB4	27	91.4	0.0062
RPN2	SHE4	28	90.8	0.008
RPN2	STU2	30	89.9	0.012
RPN2	CND1	31	88.4	0.019
RPN2	LAA1	32	88.0	0.021
RPN2	UTP20	33	87.5	0.024
RPN2	VID28	34	86.3	0.032
RPN2	MET18	36	83.5	0.056
RPN2	CEX1	37	82.1	0.07
RPN2	UFD4	38	81.9	0.072
RPN2	RTP1	39	76.1	0.15
RPN2	FES1	40	72.2	0.22
RPN2	KOG1	41	68.1	0.32
RPN2	SCC2	42	64.7	0.42
RPN2	TR732	43	63.5	0.46
RPN2	SCC3	44	61.5	0.53
RPN2	NEW1	45	53.6	0.88
RPN2	EF3B	46	45.1	1.5
RPN2	UTP10	47	45.0	1.5
RPN2	EF3A	48	31.8	3.3
RPN2	IPI1	49	30.8	3.5
RPN2	KA120	50	28.1	4.2
RPN2	HGH1	51	27.2	4.5
RPN2	VPS15	53	20.8	7.1
TOR2	TOR1	2	100.0	8.0e-176
TOR2	GCN1	4	99.8	5.6e-24
TOR2	IMB3	5	99.7	4.3e-23
TOR2	ECM29	6	99.7	4.5e-22
TOR2	IMB2	7	99.6	9.4e-20
TOR2	SF3B1	8	99.6	2.0e-20
TOR2	IMB4	9	99.5	2.2e-19
TOR2	UTP20	10	99.5	1.8e-19
TOR2	RRP12	11	99.5	1.1e-18
TOR2	MET18	12	99.3	2.2e-16
TOR2	IMB1	13	99.3	1.7e-16
TOR2	2AAA	14	99.2	4.2e-16
TOR2	VAC14	15	99.1	1.0e-14
TOR2	UTP10	16	98.8	6.2e-13
TOR2	MOT1	18	98.6	5.2e-12
TOR2	CYC8	20	98.5	2.1e-11
TOR2	VAC8	21	98.4	3.1e-11
TOR2	STU2	22	98.3	1.6e-10
TOR2	AP1B1	24	98.3	9.0e-11
TOR2	IMA1	32	97.8	6.0e-9
TOR2	COPG	33	97.7	1.1e-8
TOR2	AP2B	34	97.6	2.3e-8
TOR2	CSE1	35	97.6	3.1e-8
TOR2	COPB	38	97.4	9.4e-8
TOR2	AP3D	39	97.3	1.3e-7
TOR2	KA120	41	97.1	3.6e-7
TOR2	AP3B	43	97.1	3.3e-7
TOR2	STU1	44	97.0	6.7e-7
TOR2	EF3B	46	96.9	1.1e-6
TOR2	PDS5	47	96.9	1.0e-6
TOR2	AP1G1	49	96.9	1.2e-6
TOR2	EF3A	50	96.9	1.1e-6
TOR2	NEW1	53	96.5	5.1e-6
TOR2	NMD5	55	96.3	1.3e-5
TOR2	VID28	56	96.2	1.5e-5
TOR2	SXM1	59	96.1	1.9e-5
TOR2	VPS15	61	95.8	4.4e-5
TOR2	UFD4	62	95.6	8.7e-5
TOR2	AP2A	63	95.6	7.4e-5
TOR2	SCC2	65	95.5	0.0001
TOR2	XPO1	66	95.4	0.00011
TOR2	RPN2	68	95.3	0.00014
TOR2	SHE4	69	95.2	0.00018
TOR2	RTP1	73	95.0	0.00024
TOR2	CEX1	74	94.7	0.00043
TOR2	DOHH	76	94.6	0.00049
TOR2	CND1	78	94.3	0.00069
TOR2	TR732	83	93.0	0.0022
TOR2	CND3	84	92.4	0.0034
TOR2	SEC17	92	88.4	0.019
TOR2	APC5	99	84.3	0.049
TOR2	TTI1	101	82.6	0.065
TOR2	VATH	103	82.5	0.066
TOR2	FES1	104	82.4	0.067
TOR2	IPI1	107	80.7	0.086
TOR2	LAA1	114	75.1	0.17
TOR2	RPN6	115	74.8	0.17
TOR2	USO1	116	74.7	0.18
TOR2	BLM10	119	66.4	0.37
TOR2	CLU	121	62.3	0.5
TOR2	FIS1	125	48.2	1.2
TOR2	SCC3	127	41.6	1.8
TOR2	RPN1	128	41.0	1.9
TOR2	HGH1	129	39.5	2.1
TOR2	KOG1	131	38.3	2.2
TOR2	RQC1	133	30.4	3.6
SEC17	CYC8	2	99.4	3.8e-17
SEC17	CLU	20	98.8	3.1e-13
SEC17	RPN6	32	98.4	3.8e-11
SEC17	APC5	34	98.3	9.0e-11
SEC17	HIF1	38	98.1	8.9e-10
SEC17	FIS1	53	96.7	2.2e-6
SEC17	RQC1	67	92.0	0.0044
SEC17	TOR1	76	69.3	0.29
SEC17	HIR3	79	64.0	0.44
CHD1	INO80	1	100.0	1.3e-71
CHD1	MOT1	12	100.0	1.8e-53
UFD4	IMA1	5	99.7	5.3e-22
UFD4	VID28	6	99.1	3.5e-15
UFD4	VAC8	7	99.0	2.1e-14
UFD4	SHE4	8	98.5	1.2e-11
UFD4	FES1	9	98.4	3.4e-11
UFD4	HGH1	10	97.4	6.6e-8
UFD4	SYO1	11	97.4	8.8e-8
UFD4	2AAA	12	97.0	6.4e-7
UFD4	TOR1	13	96.6	4.6e-6
UFD4	AP1B1	14	96.6	4.3e-6
UFD4	IMB3	15	96.4	7.1e-6
UFD4	IMB2	16	96.3	1.1e-5
UFD4	SF3B1	17	96.0	3.0e-5
UFD4	VATH	18	96.0	3.0e-5
UFD4	TOR2	19	95.7	5.9e-5
UFD4	DOHH	20	95.6	8.2e-5
UFD4	IMB1	21	95.6	7.5e-5
UFD4	AP2B	22	95.3	0.00015
UFD4	ECM29	23	95.1	0.00022
UFD4	GCN1	24	95.0	0.00027
UFD4	COPG	25	94.8	0.00033
UFD4	COPB	26	94.8	0.00037
UFD4	AP3B	27	94.5	0.00054
UFD4	VAC14	28	93.9	0.0011
UFD4	AP3D	29	93.1	0.0022
UFD4	IMB4	30	93.1	0.0022
UFD4	EF3A	31	93.1	0.0022
UFD4	NEW1	32	93.0	0.0024
UFD4	SIL1	33	93.0	0.0023
UFD4	EF3B	34	92.8	0.0027
UFD4	USO1	35	91.9	0.0047
UFD4	STU2	36	91.1	0.0069
UFD4	KA120	37	87.6	0.023
UFD4	MET18	38	87.2	0.026
UFD4	CEX1	39	86.8	0.029
UFD4	UTP20	40	85.4	0.039
UFD4	RPN2	41	82.5	0.066
UFD4	KOG1	42	82.3	0.068
UFD4	UTP10	43	80.8	0.085
UFD4	RTP1	44	80.6	0.088
UFD4	CSE1	45	78.0	0.12
